url,countries,visitors
https://www.coinbase.com/join/59dba386c59cdf00b7a813d0,AO,3.2%
https://www.coinbase.com/join/59dba386c59cdf00b7a813d0,IN,4.1%
https://www.coinbase.com/join/59dba386c59cdf00b7a813d0,EG,0.9%
https://www.coinbase.com/join/59dba386c59cdf00b7a813d0,SG,0.6%
https://www.coinbase.com/join/59dba386c59cdf00b7a813d0,BD,2.4%
https://www.coinbase.com/join/59dba386c59cdf00b7a813d0,TR,0.7%
https://www.coinbase.com/join/59dba386c59cdf00b7a813d0,RU,0.7%
https://www.coinbase.com/join/59dba386c59cdf00b7a813d0,VE,4.3%
https://www.coinbase.com/join/59dba386c59cdf00b7a813d0,ES,1.2%
https://www.coinbase.com/join/59dba386c59cdf00b7a813d0,PK,1.2%
https://www.coinbase.com/join/59dba386c59cdf00b7a813d0,US,41.7%
https://www.coinbase.com/join/59dba386c59cdf00b7a813d0,HK,0.6%
https://www.coinbase.com/join/59dba386c59cdf00b7a813d0,IR,0.5%
https://www.coinbase.com/join/59dba386c59cdf00b7a813d0,AU,1.8%
https://www.coinbase.com/join/59dba386c59cdf00b7a813d0,SA,0.6%
https://www.coinbase.com/join/59dba386c59cdf00b7a813d0,CL,1.1%
https://www.coinbase.com/join/59dba386c59cdf00b7a813d0,CH,2.1%
https://www.coinbase.com/join/59dba386c59cdf00b7a813d0,NG,0.9%
https://www.coinbase.com/join/59dba386c59cdf00b7a813d0,AR,1.1%
https://www.coinbase.com/join/59dba386c59cdf00b7a813d0,GB,1.4%
https://www.coinbase.com/join/59dba386c59cdf00b7a813d0,CO,1.0%
https://www.coinbase.com/join/59dba386c59cdf00b7a813d0,KR,0.8%
https://www.coinbase.com/join/59dba386c59cdf00b7a813d0,BR,3.7%
https://www.coinbase.com/join/59dba386c59cdf00b7a813d0,IT,1.4%
https://www.coinbase.com/join/59dba386c59cdf00b7a813d0,DO,0.5%
https://www.coinbase.com/join/59dba386c59cdf00b7a813d0,GR,0.7%
https://www.coinbase.com/join/59dba386c59cdf00b7a813d0,ZA,0.7%
https://www.coinbase.com/join/59dba386c59cdf00b7a813d0,MX,0.8%
https://www.coinbase.com/join/59dba386c59cdf00b7a813d0,DZ,0.8%
https://www.coinbase.com/join/59dba386c59cdf00b7a813d0,NL,0.8%
https://www.coinbase.com/join/59dba386c59cdf00b7a813d0,CA,2.4%
https://www.coinbase.com/join/59dba386c59cdf00b7a813d0,O,13.0%
https://www.coinbase.com/join/59dba386c59cdf00b7a813d0,DE,2.2%
