url,countries,visitors
https://graviex.net/,MA,0.8%
https://graviex.net/,VN,8.7%
https://graviex.net/,IN,3.9%
https://graviex.net/,ID,3.3%
https://graviex.net/,EG,5.0%
https://graviex.net/,SG,2.2%
https://graviex.net/,TH,1.3%
https://graviex.net/,BD,1.2%
https://graviex.net/,TR,3.1%
https://graviex.net/,RU,6.4%
https://graviex.net/,PK,0.9%
https://graviex.net/,US,4.8%
https://graviex.net/,IR,1.1%
https://graviex.net/,PL,4.3%
https://graviex.net/,UA,1.1%
https://graviex.net/,BR,8.9%
https://graviex.net/,GR,1.9%
https://graviex.net/,MX,12.4%
https://graviex.net/,CA,16.7%
https://graviex.net/,O,12.1%
