url,countries,visitors
https://www.bitstamp.net/,VN,0.7%
https://www.bitstamp.net/,IN,4.1%
https://www.bitstamp.net/,TR,2.4%
https://www.bitstamp.net/,VE,1.5%
https://www.bitstamp.net/,IL,2.5%
https://www.bitstamp.net/,TN,1.3%
https://www.bitstamp.net/,TW,4.0%
https://www.bitstamp.net/,PK,0.6%
https://www.bitstamp.net/,US,10.2%
https://www.bitstamp.net/,IR,0.8%
https://www.bitstamp.net/,NG,1.3%
https://www.bitstamp.net/,AR,8.9%
https://www.bitstamp.net/,RS,1.6%
https://www.bitstamp.net/,GB,5.7%
https://www.bitstamp.net/,CO,3.4%
https://www.bitstamp.net/,GR,0.9%
https://www.bitstamp.net/,CA,1.4%
https://www.bitstamp.net/,O,24.2%
https://www.bitstamp.net/,EC,2.9%
https://www.bitstamp.net/,DE,21.3%
