url,countries,visitors
https://p2pb2b.io/referral/b73786ba-cd3e-436b-98a5-fcffd5ff911b,MA,1.0%
https://p2pb2b.io/referral/b73786ba-cd3e-436b-98a5-fcffd5ff911b,VN,2.7%
https://p2pb2b.io/referral/b73786ba-cd3e-436b-98a5-fcffd5ff911b,IN,5.6%
https://p2pb2b.io/referral/b73786ba-cd3e-436b-98a5-fcffd5ff911b,ID,1.0%
https://p2pb2b.io/referral/b73786ba-cd3e-436b-98a5-fcffd5ff911b,EG,1.8%
https://p2pb2b.io/referral/b73786ba-cd3e-436b-98a5-fcffd5ff911b,SG,1.1%
https://p2pb2b.io/referral/b73786ba-cd3e-436b-98a5-fcffd5ff911b,TH,0.6%
https://p2pb2b.io/referral/b73786ba-cd3e-436b-98a5-fcffd5ff911b,BD,1.1%
https://p2pb2b.io/referral/b73786ba-cd3e-436b-98a5-fcffd5ff911b,TR,1.7%
https://p2pb2b.io/referral/b73786ba-cd3e-436b-98a5-fcffd5ff911b,RU,5.3%
https://p2pb2b.io/referral/b73786ba-cd3e-436b-98a5-fcffd5ff911b,VE,7.9%
https://p2pb2b.io/referral/b73786ba-cd3e-436b-98a5-fcffd5ff911b,TN,0.6%
https://p2pb2b.io/referral/b73786ba-cd3e-436b-98a5-fcffd5ff911b,PK,2.2%
https://p2pb2b.io/referral/b73786ba-cd3e-436b-98a5-fcffd5ff911b,US,3.1%
https://p2pb2b.io/referral/b73786ba-cd3e-436b-98a5-fcffd5ff911b,IR,4.5%
https://p2pb2b.io/referral/b73786ba-cd3e-436b-98a5-fcffd5ff911b,SA,0.8%
https://p2pb2b.io/referral/b73786ba-cd3e-436b-98a5-fcffd5ff911b,NG,1.4%
https://p2pb2b.io/referral/b73786ba-cd3e-436b-98a5-fcffd5ff911b,AE,0.9%
https://p2pb2b.io/referral/b73786ba-cd3e-436b-98a5-fcffd5ff911b,AR,5.3%
https://p2pb2b.io/referral/b73786ba-cd3e-436b-98a5-fcffd5ff911b,RS,1.0%
https://p2pb2b.io/referral/b73786ba-cd3e-436b-98a5-fcffd5ff911b,UZ,0.8%
https://p2pb2b.io/referral/b73786ba-cd3e-436b-98a5-fcffd5ff911b,UA,1.3%
https://p2pb2b.io/referral/b73786ba-cd3e-436b-98a5-fcffd5ff911b,BR,11.8%
https://p2pb2b.io/referral/b73786ba-cd3e-436b-98a5-fcffd5ff911b,DO,1.0%
https://p2pb2b.io/referral/b73786ba-cd3e-436b-98a5-fcffd5ff911b,ZA,1.4%
https://p2pb2b.io/referral/b73786ba-cd3e-436b-98a5-fcffd5ff911b,MX,4.3%
https://p2pb2b.io/referral/b73786ba-cd3e-436b-98a5-fcffd5ff911b,DZ,1.7%
https://p2pb2b.io/referral/b73786ba-cd3e-436b-98a5-fcffd5ff911b,CA,2.5%
https://p2pb2b.io/referral/b73786ba-cd3e-436b-98a5-fcffd5ff911b,O,25.0%
https://p2pb2b.io/referral/b73786ba-cd3e-436b-98a5-fcffd5ff911b,EC,0.7%
