url,countries,visitors
https://exmo.com/?ref=731956,MA,2.2%
https://exmo.com/?ref=731956,VN,1.7%
https://exmo.com/?ref=731956,IN,3.2%
https://exmo.com/?ref=731956,EG,7.9%
https://exmo.com/?ref=731956,TR,2.4%
https://exmo.com/?ref=731956,RU,1.1%
https://exmo.com/?ref=731956,IR,1.3%
https://exmo.com/?ref=731956,KZ,3.4%
https://exmo.com/?ref=731956,UA,18.0%
https://exmo.com/?ref=731956,BR,12.2%
https://exmo.com/?ref=731956,BY,2.8%
https://exmo.com/?ref=731956,DZ,2.2%
https://exmo.com/?ref=731956,O,36.7%
https://exmo.com/?ref=731956,PE,4.9%
