url,countries,visitors
https://www.kucoin.com/#/?r=7c4KeN,MA,0.7%
https://www.kucoin.com/#/?r=7c4KeN,VN,2.3%
https://www.kucoin.com/#/?r=7c4KeN,IN,7.7%
https://www.kucoin.com/#/?r=7c4KeN,ID,1.1%
https://www.kucoin.com/#/?r=7c4KeN,EG,1.3%
https://www.kucoin.com/#/?r=7c4KeN,SG,2.1%
https://www.kucoin.com/#/?r=7c4KeN,BD,1.0%
https://www.kucoin.com/#/?r=7c4KeN,TR,2.8%
https://www.kucoin.com/#/?r=7c4KeN,RU,2.3%
https://www.kucoin.com/#/?r=7c4KeN,VE,1.5%
https://www.kucoin.com/#/?r=7c4KeN,IL,0.5%
https://www.kucoin.com/#/?r=7c4KeN,PK,0.9%
https://www.kucoin.com/#/?r=7c4KeN,US,18.5%
https://www.kucoin.com/#/?r=7c4KeN,HK,2.1%
https://www.kucoin.com/#/?r=7c4KeN,IR,2.8%
https://www.kucoin.com/#/?r=7c4KeN,NG,3.0%
https://www.kucoin.com/#/?r=7c4KeN,KR,9.7%
https://www.kucoin.com/#/?r=7c4KeN,BR,3.7%
https://www.kucoin.com/#/?r=7c4KeN,GR,2.2%
https://www.kucoin.com/#/?r=7c4KeN,MX,2.6%
https://www.kucoin.com/#/?r=7c4KeN,CA,4.0%
https://www.kucoin.com/#/?r=7c4KeN,O,22.6%
https://www.kucoin.com/#/?r=7c4KeN,PE,3.5%
https://www.kucoin.com/#/?r=7c4KeN,EC,1.1%
