url,countries,visitors
https://big.one/,MA,0.6%
https://big.one/,VN,1.6%
https://big.one/,ID,1.3%
https://big.one/,EG,1.9%
https://big.one/,BD,0.7%
https://big.one/,TR,1.8%
https://big.one/,HT,3.1%
https://big.one/,TN,0.6%
https://big.one/,US,1.4%
https://big.one/,HK,5.4%
https://big.one/,IR,2.9%
https://big.one/,BO,0.6%
https://big.one/,RS,0.6%
https://big.one/,CO,2.1%
https://big.one/,KR,3.6%
https://big.one/,BR,3.0%
https://big.one/,GR,0.7%
https://big.one/,JP,46.1%
https://big.one/,O,21.4%
https://big.one/,EC,0.7%
