url,countries,visitors
https://hitbtc.com/?ref_id=5a155b131ea65,MA,0.5%
https://hitbtc.com/?ref_id=5a155b131ea65,VN,1.4%
https://hitbtc.com/?ref_id=5a155b131ea65,IN,5.6%
https://hitbtc.com/?ref_id=5a155b131ea65,ID,0.7%
https://hitbtc.com/?ref_id=5a155b131ea65,EG,5.0%
https://hitbtc.com/?ref_id=5a155b131ea65,TH,0.6%
https://hitbtc.com/?ref_id=5a155b131ea65,BD,1.1%
https://hitbtc.com/?ref_id=5a155b131ea65,TR,1.2%
https://hitbtc.com/?ref_id=5a155b131ea65,RU,1.8%
https://hitbtc.com/?ref_id=5a155b131ea65,VE,3.2%
https://hitbtc.com/?ref_id=5a155b131ea65,TN,0.5%
https://hitbtc.com/?ref_id=5a155b131ea65,PH,0.9%
https://hitbtc.com/?ref_id=5a155b131ea65,AZ,2.1%
https://hitbtc.com/?ref_id=5a155b131ea65,PK,1.1%
https://hitbtc.com/?ref_id=5a155b131ea65,US,6.3%
https://hitbtc.com/?ref_id=5a155b131ea65,IR,6.1%
https://hitbtc.com/?ref_id=5a155b131ea65,IQ,1.1%
https://hitbtc.com/?ref_id=5a155b131ea65,SA,2.3%
https://hitbtc.com/?ref_id=5a155b131ea65,NG,4.2%
https://hitbtc.com/?ref_id=5a155b131ea65,AE,0.8%
https://hitbtc.com/?ref_id=5a155b131ea65,CO,3.1%
https://hitbtc.com/?ref_id=5a155b131ea65,UA,0.8%
https://hitbtc.com/?ref_id=5a155b131ea65,BR,15.6%
https://hitbtc.com/?ref_id=5a155b131ea65,MX,4.1%
https://hitbtc.com/?ref_id=5a155b131ea65,DZ,3.3%
https://hitbtc.com/?ref_id=5a155b131ea65,CA,2.7%
https://hitbtc.com/?ref_id=5a155b131ea65,O,23.9%
