url,countries,visitors
https://localbitcoins.com/?ch=irs1,MA,1.0%
https://localbitcoins.com/?ch=irs1,IN,15.1%
https://localbitcoins.com/?ch=irs1,EG,2.1%
https://localbitcoins.com/?ch=irs1,MY,0.9%
https://localbitcoins.com/?ch=irs1,VE,18.6%
https://localbitcoins.com/?ch=irs1,PK,4.5%
https://localbitcoins.com/?ch=irs1,US,5.3%
https://localbitcoins.com/?ch=irs1,HK,1.1%
https://localbitcoins.com/?ch=irs1,IR,1.3%
https://localbitcoins.com/?ch=irs1,SA,1.1%
https://localbitcoins.com/?ch=irs1,CL,1.6%
https://localbitcoins.com/?ch=irs1,NG,3.9%
https://localbitcoins.com/?ch=irs1,AE,0.9%
https://localbitcoins.com/?ch=irs1,AR,1.6%
https://localbitcoins.com/?ch=irs1,GB,2.1%
https://localbitcoins.com/?ch=irs1,CO,8.7%
https://localbitcoins.com/?ch=irs1,BR,3.1%
https://localbitcoins.com/?ch=irs1,DO,0.7%
https://localbitcoins.com/?ch=irs1,ZA,1.5%
https://localbitcoins.com/?ch=irs1,KE,0.8%
https://localbitcoins.com/?ch=irs1,CA,0.8%
https://localbitcoins.com/?ch=irs1,O,19.5%
https://localbitcoins.com/?ch=irs1,PE,3.2%
https://localbitcoins.com/?ch=irs1,EC,0.7%
