url,countries,visitors
https://bitfinex.com/?refcode=-Dkl7lkv,VN,2.7%
https://bitfinex.com/?refcode=-Dkl7lkv,IN,5.7%
https://bitfinex.com/?refcode=-Dkl7lkv,EG,0.7%
https://bitfinex.com/?refcode=-Dkl7lkv,SG,2.6%
https://bitfinex.com/?refcode=-Dkl7lkv,TH,1.2%
https://bitfinex.com/?refcode=-Dkl7lkv,TR,2.9%
https://bitfinex.com/?refcode=-Dkl7lkv,MY,1.2%
https://bitfinex.com/?refcode=-Dkl7lkv,RU,1.8%
https://bitfinex.com/?refcode=-Dkl7lkv,VE,0.5%
https://bitfinex.com/?refcode=-Dkl7lkv,TW,5.3%
https://bitfinex.com/?refcode=-Dkl7lkv,PK,0.6%
https://bitfinex.com/?refcode=-Dkl7lkv,NZ,0.6%
https://bitfinex.com/?refcode=-Dkl7lkv,US,5.6%
https://bitfinex.com/?refcode=-Dkl7lkv,HK,0.6%
https://bitfinex.com/?refcode=-Dkl7lkv,IR,2.8%
https://bitfinex.com/?refcode=-Dkl7lkv,SA,2.5%
https://bitfinex.com/?refcode=-Dkl7lkv,PL,1.3%
https://bitfinex.com/?refcode=-Dkl7lkv,CH,3.5%
https://bitfinex.com/?refcode=-Dkl7lkv,NG,1.9%
https://bitfinex.com/?refcode=-Dkl7lkv,AR,1.1%
https://bitfinex.com/?refcode=-Dkl7lkv,CO,0.7%
https://bitfinex.com/?refcode=-Dkl7lkv,KH,0.5%
https://bitfinex.com/?refcode=-Dkl7lkv,KR,3.6%
https://bitfinex.com/?refcode=-Dkl7lkv,UA,1.9%
https://bitfinex.com/?refcode=-Dkl7lkv,BR,6.0%
https://bitfinex.com/?refcode=-Dkl7lkv,MX,2.2%
https://bitfinex.com/?refcode=-Dkl7lkv,DZ,0.9%
https://bitfinex.com/?refcode=-Dkl7lkv,QA,3.0%
https://bitfinex.com/?refcode=-Dkl7lkv,NL,1.0%
https://bitfinex.com/?refcode=-Dkl7lkv,CA,3.3%
https://bitfinex.com/?refcode=-Dkl7lkv,JP,11.5%
https://bitfinex.com/?refcode=-Dkl7lkv,O,11.8%
https://bitfinex.com/?refcode=-Dkl7lkv,PE,1.5%
https://bitfinex.com/?refcode=-Dkl7lkv,DE,7.1%
